   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   1.1000000000000000e+02   3.8616088944851169e-03   1.2310027773828570e-03   8.4651148345584004e-01  -5.2044948735429752e-01   2.9314221946802163e-03  -6.3071416226610560e-04
   1.1100000000000000e+02   3.8880132180637312e-03   1.2208152449947798e-03   8.4387200946309782e-01  -5.2463625692239801e-01   2.9426676152549650e-03  -6.5674478832698866e-04
   1.1200000000000000e+02   3.9137987747508594e-03   1.2084976368069815e-03   8.4121762353364948e-01  -5.2880114992905514e-01   2.9555840892080340e-03  -6.8031686875994705e-04
   1.1300000000000000e+02   3.9399954252523238e-03   1.1991982554176079e-03   8.3853916792617744e-01  -5.3295726683507083e-01   2.9693225124377393e-03  -7.0894904803053653e-04
   1.1400000000000000e+02   3.9653986676062934e-03   1.1881586048258998e-03   8.3583938810953595e-01  -5.3710485082665038e-01   2.9820588891800582e-03  -7.3599259903602433e-04
   1.1500000000000000e+02   3.9931474461114315e-03   1.1774259303937529e-03   8.3312305273881604e-01  -5.4123344218185521e-01   2.9943401956998806e-03  -7.6420174670463123e-04
   1.1600000000000000e+02   4.0190170271078287e-03   1.1660669485901089e-03   8.3038706869379453e-01  -5.4534851331835099e-01   3.0093765698447949e-03  -7.9231865618668981e-04
   1.1700000000000000e+02   4.0474024661752142e-03   1.1551826566188633e-03   8.2763176198325772e-01  -5.4945112256006889e-01   3.0202764402141517e-03  -8.2142597265280962e-04
   1.1800000000000000e+02   4.0748675348940642e-03   1.1438026194919967e-03   8.2485675440276185e-01  -5.5353997828241797e-01   3.0315140876482154e-03  -8.4900254744235638e-04
   1.1900000000000000e+02   4.1018570175252586e-03   1.1307000565089511e-03   8.2206162282126138e-01  -5.5761389138491324e-01   3.0412165842267770e-03  -8.7541494555837176e-04
   1.2000000000000000e+02   4.1299123375578032e-03   1.1179115982876669e-03   8.1924317733716778e-01  -5.6167572720266157e-01   3.0503819240308956e-03  -9.0575341315382021e-04
   1.2100000000000000e+02   4.1564147687499220e-03   1.1042978574685456e-03   8.1640392636784109e-01  -5.6572321713417517e-01   3.0610358753126788e-03  -9.3218779644674114e-04
   1.2200000000000000e+02   4.1847054031136444e-03   1.0907736985734588e-03   8.1354423136808562e-01  -5.6975655785333923e-01   3.0692629190272060e-03  -9.6193585178331372e-04
   1.2300000000000000e+02   4.2106118166563089e-03   1.0777910923032881e-03   8.1066926225968872e-01  -5.7377423640545477e-01   3.0813170216350836e-03  -9.9201335582094685e-04
   1.2400000000000000e+02   4.2382930561049069e-03   1.0650300159612896e-03   8.0777140145808779e-01  -5.7778122634037410e-01   3.0913204665481866e-03  -1.0217815205295858e-03
   1.2500000000000000e+02   4.2663338619023435e-03   1.0506146358123104e-03   8.0485651052497253e-01  -5.8177153932951853e-01   3.1007149949153117e-03  -1.0520510765772068e-03
   1.2600000000000000e+02   4.2944956291759749e-03   1.0357025086928952e-03   8.0191875474943308e-01  -5.8574889983853784e-01   3.1079211145241337e-03  -1.0821588568549869e-03
   1.2700000000000000e+02   4.3223627226112371e-03   1.0187846760170507e-03   7.9895642363847352e-01  -5.8971281621633886e-01   3.1143353476872958e-03  -1.1116977181508101e-03
   1.2800000000000000e+02   4.3494922905784545e-03   1.0037669981448503e-03   7.9597621310446010e-01  -5.9366095949870978e-01   3.1221435837213516e-03  -1.1412863338819889e-03
   1.2900000000000000e+02   4.3768669042363421e-03   9.8618203794430975e-04   7.9297507040865822e-01  -5.9758946392497070e-01   3.1242992367433585e-03  -1.1704818414824286e-03
   1.3000000000000000e+02   4.4015110990756985e-03   9.6941789154234091e-04   7.8995229269995193e-01  -6.0150373433580584e-01   3.1317862648414020e-03  -1.1963457955643658e-03
   1.3100000000000000e+02   4.4272523872064826e-03   9.5208280188498499e-04   7.8691182159272499e-01  -6.0539838634612442e-01   3.1370759854865869e-03  -1.2229537289705468e-03
   1.3200000000000000e+02   4.4532686283140395e-03   9.3511426881331093e-04   7.8385297400292153e-01  -6.0927735646626291e-01   3.1413143114589785e-03  -1.2477967014841058e-03
   1.3300000000000000e+02   4.4772058792299585e-03   9.1838327195418242e-04   7.8077386874611743e-01  -6.1314059107314411e-01   3.1489941723955731e-03  -1.2730875084725627e-03
   1.3400000000000000e+02   4.5024271731428081e-03   9.0129178594661923e-04   7.7767693605745292e-01  -6.1698838631773212e-01   3.1564986926051310e-03  -1.2994342111587991e-03
   1.3500000000000000e+02   4.5273653110146968e-03   8.8412799991834925e-04   7.7456146883086907e-01  -6.2082078482521841e-01   3.1676275268811747e-03  -1.3258149730647787e-03
   1.3600000000000000e+02   4.5520064571712869e-03   8.6677127394156758e-04   7.7142725614836427e-01  -6.2463751671677803e-01   3.1747377263474609e-03  -1.3536295054076266e-03
   1.3700000000000000e+02   4.5771872569463131e-03   8.5031733011467665e-04   7.6827511467219500e-01  -6.2843781131475662e-01   3.1817669065809726e-03  -1.3810805574752871e-03
   1.3800000000000000e+02   4.6007372382684767e-03   8.3372687869092093e-04   7.6510589582387345e-01  -6.3221915557153685e-01   3.1904724776168664e-03  -1.4075352355256976e-03
   1.3900000000000000e+02   4.6252796070333242e-03   8.1608798883199638e-04   7.6191851149450573e-01  -6.3598404652309992e-01   3.1964990553962945e-03  -1.4342328944440897e-03
   1.4000000000000000e+02   4.6493513257498181e-03   7.9801329561407606e-04   7.5871507952830730e-01  -6.3973122985061615e-01   3.2056979056059292e-03  -1.4603380273802416e-03
   1.4100000000000000e+02   4.6741071743076987e-03   7.8138502275313347e-04   7.5549171021542927e-01  -6.4346578796938403e-01   3.2134480503782244e-03  -1.4892020413120894e-03
   1.4200000000000000e+02   4.6981158649094376e-03   7.6376303661693300e-04   7.5224878402380502e-01  -6.4718584646841470e-01   3.2212175611464953e-03  -1.5188806235646004e-03
   1.4300000000000000e+02   4.7233354473949236e-03   7.4579932965078476e-04   7.4899020350433354e-01  -6.5088731335804950e-01   3.2275175465252960e-03  -1.5473537366738621e-03
   1.4400000000000000e+02   4.7468884837422991e-03   7.2713844916716744e-04   7.4571313985515952e-01  -6.5456964116541494e-01   3.2332492886578529e-03  -1.5721931836470008e-03
   1.4500000000000000e+02   4.7716236051848996e-03   7.0941989226804578e-04   7.4241880905279944e-01  -6.5823330216088205e-01   3.2401351647225757e-03  -1.6011537195865285e-03
   1.4600000000000000e+02   4.7960896067904251e-03   6.9183800512066871e-04   7.3910449752462004e-01  -6.6188664938255160e-01   3.2466544833617424e-03  -1.6311387364124248e-03
   1.4700000000000000e+02   4.8197241217229382e-03   6.7295734294922941e-04   7.3577122244084348e-01  -6.6552410344563973e-01   3.2531762720646529e-03  -1.6600667380231382e-03
